DepartmentID,DepartmentName,City,State,Country,Budget,ManagerID
IT-CY-75086,IT and Technology,Lucknow,Uttar Pradesh,India,329748,man-589359
MA-IT-67820,Management,Nagpur,Maharashtra,India,314050,man-285274
MA-OP-92671,Management,Bhopal,Madhya Pradesh,India,426489,man-362561
IT-DA-41799,IT and Technology,Noida,Uttar Pradesh,India,146011,man-116776
MA-OP-52890,Management,Mumbai,Maharashtra,India,133834,man-647845
MA-GE-72098,Management,Coimbatore,Tamil Nadu,India,312241,man-623232
IT-CL-52884,IT and Technology,Kochi,Kerala,India,212407,man-633590
MA-HU-12783,Management,Kochi,Kerala,India,119895,man-169247
IT-IT-56927,IT and Technology,Nagpur,Maharashtra,India,393706,man-877733
IT-IT-79987,IT and Technology,Chennai,Tamil Nadu,India,360000,man-106256
MA-CU-18076,Management,Chennai,Tamil Nadu,India,175310,man-858821
MA-GE-14201,Management,Nagpur,Maharashtra,India,213940,man-327063
MA-PR-86912,Management,Mumbai,Maharashtra,India,123393,man-436684
MA-HU-18552,Management,Coimbatore,Tamil Nadu,India,162985,man-888121
IT-FR-57407,IT and Technology,Mumbai,Maharashtra,India,105468,man-402663
MA-GE-64645,Management,Kolkata,West Bengal,India,199660,man-298327
IT-FR-77459,IT and Technology,Vadodara,Gujarat,India,468449,man-327616
IT-NE-81106,IT and Technology,Lucknow,Uttar Pradesh,India,149164,man-311516
IT-SY-58707,IT and Technology,Kolkata,West Bengal,India,142490,man-298718
IT-CY-72507,IT and Technology,Jaipur,Rajasthan,India,349888,man-206102
MA-FI-81225,Management,Jaipur,Rajasthan,India,109003,man-444428
IT-DA-13777,IT and Technology,Visakhapatnam,Andhra Pradesh,India,467071,man-800885
MA-IT-54514,Management,Gurgaon,Haryana,India,352729,man-311453
MA-FI-79261,Management,Hyderabad,Telangana,India,206902,man-851128
IT-DA-24956,IT and Technology,Hyderabad,Telangana,India,233779,man-969849
MA-IT-84514,Management,Chandigarh,Chandigarh,India,417716,man-714035
MA-FI-70264,Management,Hyderabad,Telangana,India,222117,man-512184
IT-DA-20261,IT and Technology,Chennai,Tamil Nadu,India,304440,man-883993
IT-CL-57576,IT and Technology,Indore,Madhya Pradesh,India,117881,man-160540
MA-FI-40928,Management,Vadodara,Gujarat,India,291953,man-768160
IT-FR-85305,IT and Technology,Chennai,Tamil Nadu,India,125313,man-258000
MA-MA-36476,Management,Mumbai,Maharashtra,India,446464,man-835127
MA-HU-58806,Management,Delhi,Delhi,India,107529,man-154625
MA-PR-23695,Management,Kochi,Kerala,India,224413,man-383811
IT-SY-17393,IT and Technology,Chennai,Tamil Nadu,India,288170,man-381279
MA-CU-52292,Management,Bhopal,Madhya Pradesh,India,172285,man-128460
MA-IT-89003,Management,Mumbai,Maharashtra,India,450199,man-972493
IT-DA-63127,IT and Technology,Lucknow,Uttar Pradesh,India,363391,man-122702
MA-FI-41151,Management,Bhopal,Madhya Pradesh,India,492804,man-176939
IT-DA-19843,IT and Technology,Kochi,Kerala,India,495464,man-123037
MA-CU-92970,Management,Visakhapatnam,Andhra Pradesh,India,421918,man-550136
IT-NE-58495,IT and Technology,Lucknow,Uttar Pradesh,India,252843,man-722003
IT-CY-14411,IT and Technology,Bhopal,Madhya Pradesh,India,197115,man-780136
IT-DA-42429,IT and Technology,Vadodara,Gujarat,India,209731,man-670113
MA-OP-85448,Management,Indore,Madhya Pradesh,India,395915,man-424492
MA-PR-55303,Management,Lucknow,Uttar Pradesh,India,129012,man-962444
IT-FR-69769,IT and Technology,Gurgaon,Haryana,India,103180,man-336572
IT-CL-76574,IT and Technology,Ahmedabad,Gujarat,India,486682,man-332977
MA-PR-81008,Management,Visakhapatnam,Andhra Pradesh,India,163201,man-897696
IT-CY-91134,IT and Technology,Gurgaon,Haryana,India,141638,man-307600
MA-SA-76894,Management,Coimbatore,Tamil Nadu,India,263001,man-700864
IT-CY-32761,IT and Technology,Kochi,Kerala,India,123157,man-958461
IT-DE-86881,IT and Technology,Noida,Uttar Pradesh,India,182109,man-641269
MA-PR-80592,Management,Jaipur,Rajasthan,India,324942,man-865433
IT-SY-46553,IT and Technology,Chandigarh,Chandigarh,India,252060,man-864766
IT-CY-11622,IT and Technology,Chennai,Tamil Nadu,India,378966,man-448612
MA-MA-81986,Management,Pune,Maharashtra,India,292631,man-451350
IT-CY-25084,IT and Technology,Chandigarh,Chandigarh,India,211682,man-480545
MA-FI-15612,Management,Noida,Uttar Pradesh,India,346126,man-661323
IT-CL-35515,IT and Technology,Hyderabad,Telangana,India,308158,man-514340
IT-IT-40949,IT and Technology,Kochi,Kerala,India,293835,man-218960
MA-GE-54689,Management,Gurgaon,Haryana,India,326298,man-790037
IT-CY-27674,IT and Technology,Bhopal,Madhya Pradesh,India,179795,man-576318
IT-NE-99494,IT and Technology,Bengaluru,Karnataka,India,261719,man-590733
MA-PR-72912,Management,Chennai,Tamil Nadu,India,392762,man-509797
IT-FR-44144,IT and Technology,Bengaluru,Karnataka,India,268964,man-842558
IT-DA-19312,IT and Technology,Pune,Maharashtra,India,109724,man-516214
IT-SY-66168,IT and Technology,Lucknow,Uttar Pradesh,India,174638,man-274948
MA-OP-44661,Management,Bengaluru,Karnataka,India,155987,man-663697
MA-MA-52128,Management,Kolkata,West Bengal,India,127236,man-729349
IT-DE-30399,IT and Technology,Gurgaon,Haryana,India,463357,man-971985
MA-FI-78717,Management,Mumbai,Maharashtra,India,387698,man-412633
MA-PR-15745,Management,Visakhapatnam,Andhra Pradesh,India,126092,man-890497
IT-SO-79129,IT and Technology,Ahmedabad,Gujarat,India,139309,man-257918
MA-SA-14114,Management,Indore,Madhya Pradesh,India,209180,man-676912
IT-NE-78504,IT and Technology,Bengaluru,Karnataka,India,322892,man-299278
MA-OP-89343,Management,Nagpur,Maharashtra,India,484635,man-596909
IT-DA-65199,IT and Technology,Lucknow,Uttar Pradesh,India,454193,man-685085
MA-CU-61569,Management,Coimbatore,Tamil Nadu,India,271406,man-887184
MA-GE-77979,Management,Delhi,Delhi,India,303656,man-887719
IT-DE-59609,IT and Technology,Hyderabad,Telangana,India,466955,man-383195
MA-MA-73867,Management,Pune,Maharashtra,India,484637,man-719341
IT-NE-49868,IT and Technology,Coimbatore,Tamil Nadu,India,243882,man-380200
MA-PR-89533,Management,Bengaluru,Karnataka,India,179234,man-415285
