EmployeeID,Salary,EffectiveDate,Bonus,SalaryType,PayFrequency,Currency,AdjustmentReason,PreviousSalary
IT-2019-5549,1228490,2023-10-10,152873,Base,Monthly,INR,Promotion,93122
HU-2011-2491,718612,2024-04-06,24559,Base,Monthly,INR,Promotion,176545
SA-2022-8078,1788733,2024-08-05,326817,Commission,Monthly,INR,Cost of Living Adjustment,747451
CL-2011-3501,542387,2023-12-17,23286,Commission,Monthly,INR,Promotion,169596
PR-2011-3390,839634,2023-12-06,291520,Base,Monthly,INR,Promotion,582668
CY-2009-9929,344461,2024-06-24,116001,Commission,Annually,INR,Cost of Living Adjustment,129092
CL-2016-9878,1280510,2024-08-03,423337,Base,Annually,INR,Performance Bonus,145280
IT-2017-4086,544044,2023-12-14,192900,Base,Monthly,INR,Promotion,172473
HU-2019-8090,1119897,2024-03-05,427617,Base,Monthly,INR,Performance Bonus,692742
HU-2010-2083,287773,2024-06-09,13082,Base,Annually,INR,Cost of Living Adjustment,137123
CU-2011-9421,119726,2024-07-08,5576,Commission,Monthly,INR,Cost of Living Adjustment,76216
PR-2010-6413,643309,2024-03-17,192901,Commission,Monthly,INR,Promotion,289874
MA-2022-1228,1345269,2024-02-24,402509,Base,Annually,INR,Performance Bonus,416310
SA-2013-6712,847371,2023-09-24,247697,Commission,Annually,INR,Promotion,542165
GE-2012-9345,386643,2023-08-23,38839,Base,Annually,INR,Performance Bonus,21862
FR-2022-9820,1662151,2024-04-29,91441,Commission,Monthly,INR,Promotion,707452
SY-2021-8288,190449,2024-02-08,61679,Commission,Annually,INR,Promotion,80207
NE-2010-1043,1594127,2024-02-03,226147,Commission,Monthly,INR,Promotion,127835
HU-2015-2913,1575290,2024-07-25,37932,Commission,Annually,INR,Cost of Living Adjustment,1010339
DA-2020-3324,1614494,2024-07-27,516471,Base,Annually,INR,Performance Bonus,297975
CL-2018-2237,1507743,2024-06-04,602461,Base,Monthly,INR,Performance Bonus,453944
OP-2023-9737,199341,2023-11-29,71983,Base,Monthly,INR,Performance Bonus,91428
CU-2015-8226,971146,2023-10-14,224989,Base,Monthly,INR,Performance Bonus,200089
DA-2019-8121,1606327,2024-04-24,120296,Base,Monthly,INR,Cost of Living Adjustment,480301
DE-2011-4421,152936,2023-08-15,57094,Base,Monthly,INR,Cost of Living Adjustment,144665
